scenario_id,claim_family,truth_state,effect_size,raw_n,effective_n,cluster_count,family_count,models_per_family,family_correlation,family_imbalance,ability_spread,benchmark_count,measurement_noise,multiplicity,materiality,split,seed,generator_version,bootstrap_stability,external_validated,held_out,direction_consistent,transport_reversal,adversarial_case
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820015,PRIMARY_PAIRWISE,NULL,0.0,500,96,24,10,1,0.45,0.0,0.03,3,0.08,12,0.01,POLICY_DEVELOPMENT,820015,gaussian_mixture_v1.1,0.95,True,False,True,False,BENCHMARK_SPECIFIC_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820016,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,96,24,10,1,0.85,0.0,0.03,3,0.08,12,0.01,POLICY_DEVELOPMENT,820016,gaussian_mixture_v1.2,0.6,False,True,True,False,VERY_HIGH_MULTIPLICITY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820017,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,96,24,10,3,0.85,0.0,0.03,3,0.08,12,0.01,POLICY_DEVELOPMENT,820017,gaussian_mixture_v1.3,0.65,True,True,True,False,NEARLY_TIED_TOP_K
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820018,PRIMARY_PAIRWISE,NULL,0.0,500,12,24,10,3,0.05,0.0,0.03,3,0.08,12,0.01,POLICY_DEVELOPMENT,820018,gaussian_mixture_v1.1,0.7,True,True,False,False,HIGH_RAW_LOW_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820019,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,24,10,3,0.05,0.5,0.03,3,0.08,12,0.01,POLICY_DEVELOPMENT,820019,gaussian_mixture_v1.2,0.75,True,True,True,False,SMALL_EFFECT_HUGE_RAW_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820020,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,24,2,3,0.45,0.5,0.03,3,0.08,12,0.01,POLICY_DEVELOPMENT,820020,gaussian_mixture_v1.3,0.8,False,False,True,False,LARGE_EFFECT_SMALL_PANEL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820021,PRIMARY_PAIRWISE,NULL,0.0,500,36,60,2,3,0.45,0.5,0.03,3,0.08,12,0.01,POLICY_DEVELOPMENT,820021,gaussian_mixture_v1.1,0.85,True,True,True,False,EXTREME_FAMILY_IMBALANCE
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820022,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,36,60,2,3,0.85,0.5,0.03,5,0.08,12,0.01,POLICY_DEVELOPMENT,820022,gaussian_mixture_v1.2,0.9,True,True,True,False,ONE_DOMINANT_FAMILY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820023,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,36,60,2,3,0.85,0.5,0.1,5,0.08,12,0.01,POLICY_DEVELOPMENT,820023,gaussian_mixture_v1.3,0.95,True,True,True,False,TRANSPORT_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820024,PRIMARY_PAIRWISE,NULL,0.0,500,96,60,2,3,0.05,0.5,0.1,5,0.08,12,0.01,POLICY_DEVELOPMENT,820024,gaussian_mixture_v1.1,0.6,False,True,False,False,BENCHMARK_SPECIFIC_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820025,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,96,60,4,3,0.05,0.5,0.1,5,0.08,12,0.01,POLICY_DEVELOPMENT,820025,gaussian_mixture_v1.2,0.65,True,False,True,False,VERY_HIGH_MULTIPLICITY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820026,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,96,60,4,3,0.45,0.5,0.1,5,0.08,40,0.01,POLICY_DEVELOPMENT,820026,gaussian_mixture_v1.3,0.7,True,True,True,False,NEARLY_TIED_TOP_K
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820027,PRIMARY_PAIRWISE,NULL,0.0,500,12,60,4,3,0.45,0.5,0.1,5,0.08,40,0.01,POLICY_DEVELOPMENT,820027,gaussian_mixture_v1.1,0.75,True,True,True,False,HIGH_RAW_LOW_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820028,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,2,4,3,0.85,0.5,0.1,5,0.08,40,0.01,POLICY_DEVELOPMENT,820028,gaussian_mixture_v1.2,0.8,False,True,True,False,SMALL_EFFECT_HUGE_RAW_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820029,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,2,4,3,0.85,0.5,0.1,5,0.12,40,0.01,POLICY_DEVELOPMENT,820029,gaussian_mixture_v1.3,0.85,True,True,True,False,LARGE_EFFECT_SMALL_PANEL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820030,PRIMARY_PAIRWISE,NULL,0.0,500,36,2,6,3,0.05,0.5,0.1,5,0.12,40,0.01,POLICY_DEVELOPMENT,820030,gaussian_mixture_v1.1,0.9,True,False,False,False,EXTREME_FAMILY_IMBALANCE
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820031,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,36,2,6,3,0.05,0.5,0.1,5,0.12,40,0.01,POLICY_DEVELOPMENT,820031,gaussian_mixture_v1.2,0.95,True,True,True,False,ONE_DOMINANT_FAMILY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820032,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,36,2,6,3,0.45,0.5,0.1,5,0.12,40,0.01,POLICY_DEVELOPMENT,820032,gaussian_mixture_v1.3,0.6,False,True,True,False,TRANSPORT_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820033,PRIMARY_PAIRWISE,NULL,0.0,500,96,2,6,3,0.45,0.5,0.1,1,0.12,40,0.01,POLICY_DEVELOPMENT,820033,gaussian_mixture_v1.1,0.65,True,True,True,False,BENCHMARK_SPECIFIC_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820034,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,96,2,6,8,0.85,0.5,0.1,1,0.12,40,0.01,POLICY_DEVELOPMENT,820034,gaussian_mixture_v1.2,0.7,True,True,True,False,VERY_HIGH_MULTIPLICITY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820035,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,96,8,10,8,0.85,0.5,0.1,1,0.12,40,0.01,POLICY_DEVELOPMENT,820035,gaussian_mixture_v1.3,0.75,True,False,True,False,NEARLY_TIED_TOP_K
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820036,PRIMARY_PAIRWISE,NULL,0.0,500,12,8,10,8,0.05,0.5,0.1,1,0.12,40,0.01,POLICY_DEVELOPMENT,820036,gaussian_mixture_v1.1,0.8,False,True,False,False,HIGH_RAW_LOW_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820037,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,8,10,8,0.05,0.5,0.1,1,0.12,40,0.01,POLICY_DEVELOPMENT,820037,gaussian_mixture_v1.2,0.85,True,True,True,False,SMALL_EFFECT_HUGE_RAW_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820038,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,8,10,8,0.45,0.9,0.1,1,0.12,40,0.01,POLICY_DEVELOPMENT,820038,gaussian_mixture_v1.3,0.9,True,True,True,False,LARGE_EFFECT_SMALL_PANEL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820039,PRIMARY_PAIRWISE,NULL,0.0,500,36,8,10,8,0.45,0.9,0.1,1,0.12,1,0.01,POLICY_DEVELOPMENT,820039,gaussian_mixture_v1.1,0.95,True,True,True,False,EXTREME_FAMILY_IMBALANCE
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820040,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,36,8,2,8,0.85,0.9,0.1,1,0.12,1,0.01,POLICY_DEVELOPMENT,820040,gaussian_mixture_v1.2,0.6,False,False,True,False,ONE_DOMINANT_FAMILY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820041,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,36,8,2,8,0.85,0.9,0.1,1,0.12,1,0.01,POLICY_DEVELOPMENT,820041,gaussian_mixture_v1.3,0.65,True,True,True,False,TRANSPORT_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820042,PRIMARY_PAIRWISE,NULL,0.0,500,96,24,2,8,0.05,0.9,0.1,1,0.12,1,0.01,POLICY_DEVELOPMENT,820042,gaussian_mixture_v1.1,0.7,True,True,False,False,BENCHMARK_SPECIFIC_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820043,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,96,24,2,8,0.05,0.9,0.1,1,0.12,1,0.01,POLICY_DEVELOPMENT,820043,gaussian_mixture_v1.2,0.75,True,True,True,False,VERY_HIGH_MULTIPLICITY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820044,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,96,24,2,8,0.45,0.9,0.1,3,0.12,1,0.01,POLICY_DEVELOPMENT,820044,gaussian_mixture_v1.3,0.8,False,True,True,False,NEARLY_TIED_TOP_K
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820045,PRIMARY_PAIRWISE,NULL,0.0,500,12,24,4,8,0.45,0.9,0.1,3,0.12,1,0.01,POLICY_DEVELOPMENT,820045,gaussian_mixture_v1.1,0.85,True,False,True,False,HIGH_RAW_LOW_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820046,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,24,4,8,0.85,0.9,0.25,3,0.12,1,0.01,POLICY_DEVELOPMENT,820046,gaussian_mixture_v1.2,0.9,True,True,True,False,SMALL_EFFECT_HUGE_RAW_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820047,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,24,4,8,0.85,0.9,0.25,3,0.12,1,0.01,POLICY_DEVELOPMENT,820047,gaussian_mixture_v1.3,0.95,True,True,True,False,LARGE_EFFECT_SMALL_PANEL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820048,PRIMARY_PAIRWISE,NULL,0.0,500,36,24,4,8,0.05,0.9,0.25,3,0.12,1,0.01,POLICY_DEVELOPMENT,820048,gaussian_mixture_v1.1,0.6,False,True,False,False,EXTREME_FAMILY_IMBALANCE
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820049,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,36,60,4,8,0.05,0.9,0.25,3,0.12,1,0.01,POLICY_DEVELOPMENT,820049,gaussian_mixture_v1.2,0.65,True,True,True,False,ONE_DOMINANT_FAMILY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820050,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,36,60,6,8,0.45,0.9,0.25,3,0.12,1,0.01,POLICY_DEVELOPMENT,820050,gaussian_mixture_v1.3,0.7,True,False,True,False,TRANSPORT_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820051,PRIMARY_PAIRWISE,NULL,0.0,500,96,60,6,1,0.45,0.9,0.25,3,0.12,1,0.01,POLICY_DEVELOPMENT,820051,gaussian_mixture_v1.1,0.75,True,True,True,False,BENCHMARK_SPECIFIC_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820052,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,96,60,6,1,0.85,0.9,0.25,3,0.12,12,0.01,POLICY_DEVELOPMENT,820052,gaussian_mixture_v1.2,0.8,False,True,True,False,VERY_HIGH_MULTIPLICITY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820053,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,96,60,6,1,0.85,0.9,0.25,3,0.12,12,0.01,POLICY_DEVELOPMENT,820053,gaussian_mixture_v1.3,0.85,True,True,True,False,NEARLY_TIED_TOP_K
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820054,PRIMARY_PAIRWISE,NULL,0.0,500,12,60,6,1,0.05,0.9,0.25,3,0.12,12,0.01,POLICY_DEVELOPMENT,820054,gaussian_mixture_v1.1,0.9,True,True,False,False,HIGH_RAW_LOW_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820055,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,60,10,1,0.05,0.9,0.25,5,0.12,12,0.01,POLICY_DEVELOPMENT,820055,gaussian_mixture_v1.2,0.95,True,False,True,False,SMALL_EFFECT_HUGE_RAW_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820056,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,2,10,1,0.45,0.9,0.25,5,0.12,12,0.01,POLICY_DEVELOPMENT,820056,gaussian_mixture_v1.3,0.6,False,True,True,False,LARGE_EFFECT_SMALL_PANEL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820057,PRIMARY_PAIRWISE,NULL,0.0,500,36,2,10,1,0.45,0.0,0.25,5,0.12,12,0.01,POLICY_DEVELOPMENT,820057,gaussian_mixture_v1.1,0.65,True,True,True,False,EXTREME_FAMILY_IMBALANCE
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820058,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,36,2,10,1,0.85,0.0,0.25,5,0.18,12,0.01,POLICY_DEVELOPMENT,820058,gaussian_mixture_v1.2,0.7,True,True,True,False,ONE_DOMINANT_FAMILY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820059,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,36,2,10,1,0.85,0.0,0.25,5,0.18,12,0.01,POLICY_DEVELOPMENT,820059,gaussian_mixture_v1.3,0.75,True,True,True,False,TRANSPORT_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820060,PRIMARY_PAIRWISE,NULL,0.0,500,96,2,2,1,0.05,0.0,0.25,5,0.18,12,0.01,POLICY_DEVELOPMENT,820060,gaussian_mixture_v1.1,0.8,False,False,False,False,BENCHMARK_SPECIFIC_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820061,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,96,2,2,1,0.05,0.0,0.25,5,0.18,12,0.01,POLICY_DEVELOPMENT,820061,gaussian_mixture_v1.2,0.85,True,True,True,False,VERY_HIGH_MULTIPLICITY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820062,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,96,2,2,1,0.45,0.0,0.25,5,0.18,12,0.01,POLICY_DEVELOPMENT,820062,gaussian_mixture_v1.3,0.9,True,True,True,False,NEARLY_TIED_TOP_K
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820063,PRIMARY_PAIRWISE,NULL,0.0,500,12,8,2,1,0.45,0.0,0.25,5,0.18,12,0.01,POLICY_DEVELOPMENT,820063,gaussian_mixture_v1.1,0.95,True,True,True,False,HIGH_RAW_LOW_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820064,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,8,2,1,0.85,0.0,0.25,5,0.18,12,0.01,POLICY_DEVELOPMENT,820064,gaussian_mixture_v1.2,0.6,False,True,True,False,SMALL_EFFECT_HUGE_RAW_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820065,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,8,4,1,0.85,0.0,0.25,5,0.18,40,0.01,POLICY_DEVELOPMENT,820065,gaussian_mixture_v1.3,0.65,True,False,True,False,LARGE_EFFECT_SMALL_PANEL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820066,PRIMARY_PAIRWISE,NULL,0.0,500,36,8,4,1,0.05,0.0,0.25,1,0.18,40,0.01,POLICY_DEVELOPMENT,820066,gaussian_mixture_v1.1,0.7,True,True,False,False,EXTREME_FAMILY_IMBALANCE
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820067,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,36,8,4,1,0.05,0.0,0.25,1,0.18,40,0.01,POLICY_DEVELOPMENT,820067,gaussian_mixture_v1.2,0.75,True,True,True,False,ONE_DOMINANT_FAMILY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820068,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,36,8,4,3,0.45,0.0,0.25,1,0.18,40,0.01,POLICY_DEVELOPMENT,820068,gaussian_mixture_v1.3,0.8,False,True,True,False,TRANSPORT_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820069,PRIMARY_PAIRWISE,NULL,0.0,500,96,8,4,3,0.45,0.0,0.03,1,0.18,40,0.01,POLICY_DEVELOPMENT,820069,gaussian_mixture_v1.1,0.85,True,True,True,False,BENCHMARK_SPECIFIC_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820070,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,96,24,6,3,0.85,0.0,0.03,1,0.18,40,0.01,POLICY_DEVELOPMENT,820070,gaussian_mixture_v1.2,0.9,True,False,True,False,VERY_HIGH_MULTIPLICITY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820071,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,96,24,6,3,0.85,0.0,0.03,1,0.18,40,0.01,POLICY_DEVELOPMENT,820071,gaussian_mixture_v1.3,0.95,True,True,True,False,NEARLY_TIED_TOP_K
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820072,PRIMARY_PAIRWISE,NULL,0.0,500,12,24,6,3,0.05,0.0,0.03,1,0.18,40,0.01,POLICY_DEVELOPMENT,820072,gaussian_mixture_v1.1,0.6,False,True,False,False,HIGH_RAW_LOW_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820073,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,24,6,3,0.05,0.0,0.03,1,0.18,40,0.01,POLICY_DEVELOPMENT,820073,gaussian_mixture_v1.2,0.65,True,True,True,False,SMALL_EFFECT_HUGE_RAW_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820074,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,24,6,3,0.45,0.0,0.03,1,0.18,40,0.01,POLICY_DEVELOPMENT,820074,gaussian_mixture_v1.3,0.7,True,True,True,False,LARGE_EFFECT_SMALL_PANEL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820075,PRIMARY_PAIRWISE,NULL,0.0,500,36,24,10,3,0.45,0.0,0.03,1,0.18,40,0.01,POLICY_DEVELOPMENT,820075,gaussian_mixture_v1.1,0.75,True,False,True,False,EXTREME_FAMILY_IMBALANCE
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820076,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,36,24,10,3,0.85,0.5,0.03,1,0.18,40,0.01,POLICY_DEVELOPMENT,820076,gaussian_mixture_v1.2,0.8,False,True,True,False,ONE_DOMINANT_FAMILY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820077,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,36,60,10,3,0.85,0.5,0.03,3,0.18,40,0.01,POLICY_DEVELOPMENT,820077,gaussian_mixture_v1.3,0.85,True,True,True,False,TRANSPORT_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820078,PRIMARY_PAIRWISE,NULL,0.0,500,96,60,10,3,0.05,0.5,0.03,3,0.18,1,0.01,POLICY_DEVELOPMENT,820078,gaussian_mixture_v1.1,0.9,True,True,False,False,BENCHMARK_SPECIFIC_REVERSAL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820079,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,96,60,10,3,0.05,0.5,0.03,3,0.18,1,0.01,POLICY_DEVELOPMENT,820079,gaussian_mixture_v1.2,0.95,True,True,True,False,VERY_HIGH_MULTIPLICITY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820080,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,96,60,2,3,0.45,0.5,0.03,3,0.18,1,0.01,POLICY_DEVELOPMENT,820080,gaussian_mixture_v1.3,0.6,False,False,True,False,NEARLY_TIED_TOP_K
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820081,PRIMARY_PAIRWISE,NULL,0.0,500,12,60,2,3,0.45,0.5,0.03,3,0.18,1,0.01,POLICY_DEVELOPMENT,820081,gaussian_mixture_v1.1,0.65,True,True,True,False,HIGH_RAW_LOW_EFFECTIVE_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820082,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,12,60,2,3,0.85,0.5,0.03,3,0.18,1,0.01,POLICY_DEVELOPMENT,820082,gaussian_mixture_v1.2,0.7,True,True,True,False,SMALL_EFFECT_HUGE_RAW_N
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820083,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,12,60,2,3,0.85,0.5,0.03,3,0.18,1,0.01,POLICY_DEVELOPMENT,820083,gaussian_mixture_v1.3,0.75,True,True,True,False,LARGE_EFFECT_SMALL_PANEL
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820084,PRIMARY_PAIRWISE,NULL,0.0,500,36,2,2,3,0.05,0.5,0.03,3,0.18,1,0.01,POLICY_DEVELOPMENT,820084,gaussian_mixture_v1.1,0.8,False,True,False,False,EXTREME_FAMILY_IMBALANCE
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820085,PRIMARY_PAIRWISE,SUPPORTED,0.025,10000,36,2,4,8,0.05,0.5,0.03,3,0.18,1,0.01,POLICY_DEVELOPMENT,820085,gaussian_mixture_v1.2,0.85,True,False,True,False,ONE_DOMINANT_FAMILY
POLICY_DEVELOPMENT-PRIMARY_PAIRWISE-820086,PRIMARY_PAIRWISE,SUPPORTED,0.06,1000000,36,2,4,8,0.45,0.5,0.03,3,0.18,1,0.01,POLICY_DEVELOPMENT,820086,gaussian_mixture_v1.3,0.9,True,True,True,False,TRANSPORT_REVERSAL
