status,simulations,bootstrap_draws,model_count,family_count,family_correlation,tied_truth,target_coverage,joint_coverage,joint_coverage_monte_carlo_se,mean_interval_width,method,claim_boundary
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,40,10,0.9,False,0.95,1.0,0.0,18.346,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,40,10,0.0,True,0.95,0.98,0.019798989873223337,20.249000000000002,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,40,10,0.6,True,0.95,0.98,0.019798989873223337,18.971000000000004,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,40,10,0.9,True,0.95,0.98,0.019798989873223337,18.317,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,50,10,0.0,False,0.95,0.98,0.019798989873223337,25.2568,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,50,10,0.6,False,0.95,1.0,0.0,23.983199999999997,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,50,10,0.9,False,0.95,0.98,0.019798989873223337,22.904799999999994,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,50,10,0.0,True,0.95,1.0,0.0,25.364799999999995,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,50,10,0.6,True,0.95,0.96,0.02771281292110205,24.215199999999996,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
SIMULTANEOUS_RANK_COVERAGE_SIMULATION_COMPLETE,50,100,50,10,0.9,True,0.95,0.96,0.02771281292110205,22.9312,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,Coverage is conditional on this known-truth simulation family.
