method,simulation,median_rank_range,maximum_rank_range,kendalls_w,evidence_role
ADD_ABILITY_SUBJECT,39,18.0,28.0,0.8904902460226028,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,40,17.5,25.5,0.8939803693350536,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,41,17.5,27.0,0.8996665559700128,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,42,17.5,26.0,0.8911185983234556,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,43,16.5,31.0,0.8929814575393284,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,44,17.0,27.0,0.8967033688423888,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,45,17.5,25.0,0.8868617799694797,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,46,16.5,23.5,0.9011103132522138,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,47,17.0,26.0,0.8908439825174841,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,48,16.5,29.5,0.8896796427937804,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,49,18.0,24.5,0.894025644184014,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,50,18.5,25.5,0.8927936225931289,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,51,17.5,25.5,0.8930384532903132,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,52,18.0,28.5,0.8917846253922272,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,53,18.5,28.0,0.8917841725967668,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,54,18.0,26.5,0.8943711890072659,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,55,18.0,29.5,0.888019575495659,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,56,17.0,29.0,0.8964410109384114,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,57,19.0,30.0,0.8844667101575729,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,58,16.5,27.0,0.8987694079302312,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,59,18.0,30.0,0.8877419891128769,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,60,18.0,25.0,0.8980384168779219,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,61,18.0,25.5,0.892710988153954,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,62,18.0,27.0,0.8869482174810445,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,63,18.0,26.0,0.8951716439086798,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,64,18.5,26.5,0.8952662448292911,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,65,17.5,28.0,0.8910823589319098,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,66,16.5,24.5,0.8994589635068034,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,67,17.5,25.0,0.8962253231463949,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,68,16.0,28.0,0.8949191957906093,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,69,17.5,26.0,0.8892233964099777,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,70,16.5,27.5,0.8938738835707951,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,71,16.0,23.5,0.8997016356342891,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,72,18.0,29.0,0.8921271556214398,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,73,18.5,26.0,0.8866538205256496,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,74,19.0,27.0,0.8855843188519406,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,75,18.0,27.0,0.893758460584074,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,76,18.5,27.0,0.8913757012569985,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,77,19.5,28.0,0.8850354284197882,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,78,16.5,25.0,0.8889038159999616,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,79,18.5,29.5,0.8919413521748294,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,80,17.0,27.0,0.8942821882714911,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,81,16.5,26.0,0.8905743376777889,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,82,17.5,26.0,0.8959515473101893,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,83,18.0,30.5,0.8910757159085878,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,84,17.5,27.0,0.8885131756866695,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,85,18.5,27.0,0.8894453583724007,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,86,18.0,25.5,0.8980872503845997,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,87,18.5,24.0,0.8913419498096572,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,88,19.0,25.5,0.8919718808765917,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,89,17.0,26.0,0.8954154761319733,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,90,18.0,27.0,0.890650564776632,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,91,18.0,27.0,0.8937232454190166,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,92,17.0,24.5,0.899198364837364,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,93,18.5,25.5,0.8908058737806641,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,94,18.0,27.0,0.8916788866941826,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,95,18.0,25.5,0.8953135841312446,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,96,17.0,24.0,0.8978982582631944,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,97,18.0,27.0,0.8936751050191378,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,98,17.0,30.5,0.8938353873472344,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,99,18.0,31.0,0.8850336852938273,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,100,16.5,31.0,0.8874498410454622,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,101,17.0,32.0,0.8965745565983738,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,102,18.5,27.5,0.8922388581835932,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,103,18.0,27.5,0.8933487361393,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,104,18.5,29.0,0.8889134555323108,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,105,17.5,24.5,0.8963002437602317,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,106,17.5,26.0,0.8903002471954444,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,107,17.0,27.5,0.8967227392776466,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,108,17.5,27.0,0.8902891711522302,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,109,15.5,27.5,0.901227087641669,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,110,17.5,25.0,0.8923599401398723,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,111,19.0,28.5,0.8957995777701497,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,112,17.5,26.0,0.8906369807828244,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,113,18.0,26.0,0.8936479427968724,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,114,17.5,26.5,0.9008978499047217,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,115,18.0,25.5,0.8898679700751267,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,116,17.5,28.0,0.899193396054395,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,117,17.0,28.0,0.8937136785842502,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,118,18.5,28.0,0.8902602521185669,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,119,18.0,23.5,0.8954544500098578,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,120,18.0,32.0,0.8878465260664137,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,121,16.0,27.0,0.8979560148410461,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,122,18.0,28.0,0.8915776513061446,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,123,17.5,27.0,0.8956232407163786,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,124,17.0,27.0,0.8927019153903326,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,125,17.5,27.5,0.8915977889879018,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,126,17.0,26.5,0.8973221229405904,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,127,17.0,25.5,0.8951872239094638,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,128,16.5,25.5,0.898652459013222,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,129,17.5,28.5,0.8908526579095435,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,130,17.5,30.5,0.8871068983107768,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,131,17.0,26.5,0.8959482849760988,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,132,16.5,28.5,0.8976178111038389,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,133,17.5,31.0,0.8970486845217863,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,134,17.0,27.0,0.8928197692205184,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,135,18.0,28.0,0.8977649901768713,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,136,17.0,27.0,0.8940513742118055,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,137,18.0,26.0,0.8950852102736974,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,138,17.0,25.0,0.8918400928517274,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,139,18.5,24.5,0.893422102513808,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,140,19.0,26.5,0.8852392566615374,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,141,17.5,25.5,0.8933522209981604,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,142,16.5,27.5,0.8882092810631746,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,143,17.0,25.5,0.8937956017161185,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,144,16.0,31.0,0.8940232788242125,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,145,18.0,27.5,0.890426621402657,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,146,18.0,25.0,0.8956732455789328,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,147,18.0,26.0,0.8918187362364571,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,148,18.0,28.5,0.8932641944230633,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,149,18.5,26.5,0.8955709446269561,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,150,16.5,25.5,0.8957609241790847,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,151,18.5,29.0,0.8866289930318725,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,152,17.5,28.0,0.8912951930969801,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,153,18.5,25.0,0.8901673548462177,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,154,18.0,23.5,0.8942758972947691,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,155,18.5,26.5,0.8936104129428034,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,156,18.0,26.5,0.8895364645495464,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,157,17.0,25.5,0.8995745144761055,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,158,17.5,29.0,0.8942982050514964,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,159,18.0,27.5,0.886022106070673,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,160,16.5,24.0,0.8989626403381162,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,161,15.5,25.5,0.9011387103485347,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,162,17.0,24.5,0.8965272598489125,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,163,18.5,25.5,0.8925113518660536,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,164,18.5,27.5,0.8908805540090008,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,165,18.0,26.0,0.8902556057575335,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,166,16.5,26.0,0.8946389953913136,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,167,18.0,28.0,0.891803083075909,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,168,17.0,27.0,0.8910446212482539,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,169,17.0,27.5,0.8887691905030237,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,170,17.5,27.0,0.8953246652664131,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,171,18.5,26.0,0.8821443313250137,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,172,17.0,26.5,0.8916827411286284,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,173,17.0,26.0,0.8929459697446844,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,174,18.5,27.0,0.8944374499966663,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,175,16.5,27.5,0.9040397700881094,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,176,17.5,24.0,0.894258962948873,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,177,18.0,29.0,0.8860470716645403,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,178,18.0,26.0,0.8924695932989682,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,179,16.5,24.0,0.9013498399009826,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,180,16.5,28.0,0.8969600580958174,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,181,17.5,27.0,0.8877660344487623,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,182,16.0,27.0,0.8948549959156283,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,183,18.5,24.5,0.8941070185266915,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,184,17.5,26.0,0.8909271244811777,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,185,17.5,26.0,0.8906426310706811,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,186,18.0,26.0,0.8871537497735856,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,187,17.5,27.5,0.8903864829273468,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,188,16.0,28.5,0.892762089033627,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,189,17.0,28.0,0.8971172047546221,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,190,17.5,28.5,0.890587185940379,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,191,17.5,27.5,0.8953876615980745,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,192,18.5,24.5,0.8941789659663727,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,193,18.0,29.0,0.8848832251927078,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,194,20.0,25.5,0.8843440929133329,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,195,17.5,25.0,0.8978429253123097,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,196,16.5,25.5,0.8875368854076437,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,197,17.5,26.0,0.8965951647106041,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,198,17.5,25.5,0.8953937691898202,CALIBRATION_NULL
ADD_ABILITY_SUBJECT,199,18.5,25.5,0.8975906033389821,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,0,16.5,26.0,0.8963456878270205,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,1,17.5,26.0,0.895970317960481,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,2,18.0,23.5,0.8972094930026732,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,3,17.0,23.5,0.8995333263452393,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,4,18.5,27.0,0.8922656724953796,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,5,16.5,24.5,0.8995206036174968,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,6,18.5,26.0,0.8905671442370857,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,7,18.0,23.0,0.8956939415678892,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,8,17.0,25.0,0.9021586586528495,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,9,17.5,23.0,0.9001214795931786,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,10,17.0,26.0,0.8992242604865129,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,11,18.0,24.5,0.8952537390637514,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,12,16.0,26.0,0.8991562464616357,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,13,18.0,26.0,0.8936233662203091,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,14,17.0,25.0,0.9046584199278351,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,15,17.0,25.0,0.8969122708426562,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,16,16.5,29.5,0.8978013634167212,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,17,18.0,26.0,0.8916152811656399,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,18,18.0,28.0,0.8989766937156041,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,19,17.0,27.0,0.901642689597861,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,20,18.0,28.5,0.8912574795670872,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,21,18.0,27.0,0.8929310020064647,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,22,18.0,25.0,0.8949596831744697,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,23,18.0,27.5,0.8979378126828971,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,24,18.5,26.0,0.8922150148326816,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,25,18.0,26.0,0.8968436940920309,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,26,17.5,25.0,0.8943489054651483,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,27,18.0,25.5,0.8972085983097603,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,28,18.0,27.0,0.8883788184769996,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,29,17.5,22.5,0.900218535876699,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,30,17.0,25.5,0.9028624471183827,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,31,17.5,24.5,0.8972888594616144,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,32,17.5,24.5,0.8974158562407901,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,33,18.0,28.5,0.8926827652034544,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,34,18.0,25.5,0.8987712917979575,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,35,17.0,25.5,0.8983537696618944,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,36,17.0,26.0,0.8974592463628156,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,37,17.0,26.5,0.9040321544559988,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,38,16.5,28.0,0.8955790287234362,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,39,18.0,29.0,0.8978053975639683,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,40,18.0,28.5,0.8944505769156188,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,41,17.5,24.0,0.8936845418562883,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,42,16.0,25.5,0.9074147772156201,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,43,16.5,29.0,0.8983252758924357,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,44,17.5,31.0,0.8967669582084361,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,45,16.0,24.0,0.9009203921738543,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,46,18.0,26.0,0.8942244964851818,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,47,17.5,29.5,0.8953456338403967,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,48,17.5,28.0,0.8934055783163215,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,49,17.0,24.0,0.8957307968422232,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,50,17.5,27.5,0.8976375916272672,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,51,17.5,25.5,0.8944119194217949,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,52,17.0,25.0,0.9009186392857413,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,53,17.0,24.5,0.8989018870908068,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,54,17.5,31.0,0.8953853215188577,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,55,17.5,24.0,0.8994627520572666,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,56,16.5,27.5,0.8974222964377037,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,57,18.5,25.0,0.8950128287778994,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,58,16.0,27.5,0.8970725872489606,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,59,19.0,29.0,0.8864093892610442,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,60,17.0,27.0,0.8960031633696076,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,61,18.0,25.5,0.8893054944827292,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,62,17.5,28.0,0.8984056819783233,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,63,18.0,26.5,0.8917585202783378,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,64,16.5,27.5,0.8968259361408276,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,65,17.5,27.0,0.8926769167136335,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,66,17.5,25.5,0.9035353716419735,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,67,16.5,23.5,0.9010709287410339,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,68,17.5,26.0,0.8941100606090562,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,69,17.0,30.5,0.896541970195202,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,70,17.5,30.0,0.8924535099247497,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,71,16.5,26.0,0.9020618264016035,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,72,16.5,28.5,0.8925646976438945,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,73,16.0,24.0,0.8984636764450011,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,74,19.0,25.5,0.8905095699410148,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,75,17.0,26.5,0.8953554096114722,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,76,16.5,22.5,0.8964509310679155,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,77,17.5,25.0,0.8955261108210771,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,78,17.5,28.0,0.8984222075840883,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,79,16.5,24.5,0.9064848122522248,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,80,18.5,25.0,0.8968663353622423,CALIBRATION_NULL
EMPIRICAL_BAYES_ADDITIVE,81,16.5,25.5,0.9011227205418793,CALIBRATION_NULL
