replicate,model_id,model_family,family_balanced_rank,aggregate_subject_accuracy
4,microsoft/phi-2,phi,8.0,0.5842493973299887
4,qwen/qwen1.5-32b,qwen,3.0,0.7443285147738198
4,01-ai/yi-large-preview,yi,1.0,0.7932309410233613
5,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
5,databricks/dbrx-instruct,dbrx,2.0,0.7410120567563482
5,deepseek-ai/deepseek-llm-67b-chat,deepseek,4.0,0.725042055452075
5,google/gemma-2-9b,gemma,5.0,0.7213434388300994
5,meta/llama-2-7b,llama,10.0,0.4581089294358622
5,mistralai/mixtral-8x7b-32kseqlen,mistral,6.0,0.7172533474856093
5,allenai/olmo-1.7-7b,olmo,9.0,0.5376719988127453
5,microsoft/phi-3-small-8k-instruct,phi,1.0,0.7567775597029733
5,qwen/qwen2.5-7b-instruct-turbo,qwen,3.0,0.7287077954964658
5,01-ai/yi-6b,yi,8.0,0.6400594608704304
6,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
6,databricks/dbrx-instruct,dbrx,6.0,0.7410120567563482
6,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
6,google/gemma-2-27b,gemma,5.0,0.7570433943977638
6,meta/llama-3-8b,llama,8.0,0.6676368046780581
6,mistralai/mistral-7b-instruct-v0.3,mistral,9.0,0.5991250371958482
6,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
6,microsoft/phi-3-medium-4k-instruct,phi,3.0,0.774517567943956
6,qwen/qwen1.5-72b,qwen,4.0,0.7739168514623904
6,01-ai/yi-large-preview,yi,2.0,0.7932309410233613
7,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
7,databricks/dbrx-instruct,dbrx,3.0,0.7410120567563482
7,deepseek-ai/deepseek-llm-67b-chat,deepseek,4.0,0.725042055452075
7,google/gemma-2-9b,gemma,5.0,0.7213434388300994
7,meta/llama-3.1-8b-instruct-turbo,llama,9.0,0.5606310290011183
7,mistralai/mixtral-8x22b,mistral,1.0,0.7781994679340385
7,allenai/olmo-7b,olmo,10.0,0.2946516964096742
7,microsoft/phi-2,phi,8.0,0.5842493973299887
7,qwen/qwen1.5-14b,qwen,6.0,0.6864380513233806
7,01-ai/yi-34b,yi,2.0,0.7623282062667585
8,snowflake/snowflake-arctic-instruct,arctic,8.0,0.676569761285256
8,databricks/dbrx-instruct,dbrx,7.0,0.7410120567563482
8,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
8,google/gemma-2-27b,gemma,6.0,0.7570433943977638
8,meta/llama-3.1-405b-instruct-turbo,llama,2.0,0.8453174958174847
8,mistralai/mistral-7b-v0.1,mistral,9.0,0.5657513230766065
8,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
8,microsoft/phi-3-medium-4k-instruct,phi,3.0,0.774517567943956
8,qwen/qwen1.5-72b,qwen,4.0,0.7739168514623904
8,01-ai/yi-34b,yi,5.0,0.7623282062667585
9,snowflake/snowflake-arctic-instruct,arctic,6.0,0.676569761285256
9,databricks/dbrx-instruct,dbrx,3.0,0.7410120567563482
9,deepseek-ai/deepseek-llm-67b-chat,deepseek,5.0,0.725042055452075
9,google/gemma-2-27b,gemma,2.0,0.7570433943977638
9,meta/llama-3-8b,llama,7.0,0.6676368046780581
9,mistralai/mistral-7b-v0.1,mistral,9.0,0.5657513230766065
9,allenai/olmo-7b,olmo,10.0,0.2946516964096742
9,microsoft/phi-2,phi,8.0,0.5842493973299887
9,qwen/qwen2.5-7b-instruct-turbo,qwen,4.0,0.7287077954964658
9,01-ai/yi-34b,yi,1.0,0.7623282062667585
10,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
10,databricks/dbrx-instruct,dbrx,6.0,0.7410120567563482
10,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
10,google/gemma-2-27b,gemma,4.0,0.7570433943977638
10,meta/llama-3-8b,llama,8.0,0.6676368046780581
10,mistralai/mixtral-8x22b,mistral,2.0,0.7781994679340385
10,allenai/olmo-7b,olmo,10.0,0.2946516964096742
10,microsoft/phi-3-small-8k-instruct,phi,5.0,0.7567775597029733
10,qwen/qwen1.5-7b,qwen,9.0,0.6257777441280399
10,01-ai/yi-34b,yi,3.0,0.7623282062667585
11,snowflake/snowflake-arctic-instruct,arctic,9.0,0.676569761285256
11,databricks/dbrx-instruct,dbrx,6.0,0.7410120567563482
11,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
11,google/gemma-2-27b,gemma,4.0,0.7570433943977638
11,meta/llama-2-70b,llama,8.0,0.6954627064646919
11,mistralai/mixtral-8x22b,mistral,3.0,0.7781994679340385
11,allenai/olmo-7b,olmo,10.0,0.2946516964096742
11,microsoft/phi-3-small-8k-instruct,phi,5.0,0.7567775597029733
11,qwen/qwen2.5-7b-instruct-turbo,qwen,7.0,0.7287077954964658
11,01-ai/yi-large-preview,yi,2.0,0.7932309410233613
12,snowflake/snowflake-arctic-instruct,arctic,8.0,0.676569761285256
12,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
12,deepseek-ai/deepseek-llm-67b-chat,deepseek,7.0,0.725042055452075
12,google/gemma-2-27b,gemma,4.0,0.7570433943977638
12,meta/llama-3.3-70b-instruct-turbo,llama,2.0,0.790602761302675
12,mistralai/mistral-7b-v0.1,mistral,9.0,0.5657513230766065
12,allenai/olmo-7b,olmo,10.0,0.2946516964096742
12,microsoft/phi-3-medium-4k-instruct,phi,3.0,0.774517567943956
12,qwen/qwen2.5-7b-instruct-turbo,qwen,6.0,0.7287077954964658
12,01-ai/yi-large-preview,yi,1.0,0.7932309410233613
13,snowflake/snowflake-arctic-instruct,arctic,8.0,0.676569761285256
13,databricks/dbrx-instruct,dbrx,3.0,0.7410120567563482
13,deepseek-ai/deepseek-llm-67b-chat,deepseek,5.0,0.725042055452075
13,google/gemma-2-9b,gemma,6.0,0.7213434388300994
13,meta/llama-3.3-70b-instruct-turbo,llama,1.0,0.790602761302675
13,mistralai/mixtral-8x7b-32kseqlen,mistral,7.0,0.7172533474856093
13,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
13,microsoft/phi-3-medium-4k-instruct,phi,2.0,0.774517567943956
13,qwen/qwen2.5-7b-instruct-turbo,qwen,4.0,0.7287077954964658
13,01-ai/yi-6b,yi,9.0,0.6400594608704304
14,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
14,databricks/dbrx-instruct,dbrx,3.0,0.7410120567563482
14,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
14,google/gemma-2-9b,gemma,5.0,0.7213434388300994
14,meta/llama-3.2-11b-vision-instruct-turbo,llama,9.0,0.5650818312394074
14,mistralai/mixtral-8x7b-32kseqlen,mistral,6.0,0.7172533474856093
14,allenai/olmo-7b,olmo,10.0,0.2946516964096742
14,microsoft/phi-2,phi,8.0,0.5842493973299887
14,qwen/qwen2.5-7b-instruct-turbo,qwen,4.0,0.7287077954964658
14,01-ai/yi-large-preview,yi,2.0,0.7932309410233613
15,snowflake/snowflake-arctic-instruct,arctic,9.0,0.676569761285256
15,databricks/dbrx-instruct,dbrx,7.0,0.7410120567563482
15,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
15,google/gemma-2-9b,gemma,8.0,0.7213434388300994
15,meta/llama-3.1-405b-instruct-turbo,llama,2.0,0.8453174958174847
15,mistralai/mixtral-8x22b,mistral,4.0,0.7781994679340385
15,allenai/olmo-7b,olmo,10.0,0.2946516964096742
15,microsoft/phi-3-small-8k-instruct,phi,6.0,0.7567775597029733
15,qwen/qwen1.5-110b-chat,qwen,5.0,0.767842526875325
15,01-ai/yi-large-preview,yi,3.0,0.7932309410233613
16,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
16,databricks/dbrx-instruct,dbrx,6.0,0.7410120567563482
16,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
16,google/gemma-2-27b,gemma,5.0,0.7570433943977638
16,meta/llama-3-8b,llama,8.0,0.6676368046780581
16,mistralai/open-mistral-nemo-2407,mistral,9.0,0.6532946316803779
16,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
16,microsoft/phi-3-medium-4k-instruct,phi,3.0,0.774517567943956
16,qwen/qwen2-72b-instruct,qwen,2.0,0.8235031827495974
16,01-ai/yi-34b,yi,4.0,0.7623282062667585
17,snowflake/snowflake-arctic-instruct,arctic,8.0,0.676569761285256
17,databricks/dbrx-instruct,dbrx,6.0,0.7410120567563482
17,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
17,google/gemma-2-9b,gemma,7.0,0.7213434388300994
17,meta/llama-3.1-405b-instruct-turbo,llama,2.0,0.8453174958174847
17,mistralai/mixtral-8x22b,mistral,4.0,0.7781994679340385
17,allenai/olmo-7b,olmo,10.0,0.2946516964096742
17,microsoft/phi-2,phi,9.0,0.5842493973299887
17,qwen/qwen1.5-32b,qwen,5.0,0.7443285147738198
17,01-ai/yi-large-preview,yi,3.0,0.7932309410233613
18,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
18,databricks/dbrx-instruct,dbrx,4.0,0.7410120567563482
18,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
18,google/gemma-2-9b,gemma,5.0,0.7213434388300994
18,meta/llama-2-13b,llama,9.0,0.5541548609350062
18,mistralai/mixtral-8x7b-32kseqlen,mistral,6.0,0.7172533474856093
18,allenai/olmo-7b,olmo,10.0,0.2946516964096742
18,microsoft/phi-2,phi,8.0,0.5842493973299887
18,qwen/qwen1.5-110b-chat,qwen,3.0,0.767842526875325
18,01-ai/yi-large-preview,yi,2.0,0.7932309410233613
19,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
19,databricks/dbrx-instruct,dbrx,3.0,0.7410120567563482
19,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
19,google/gemma-2-9b,gemma,4.0,0.7213434388300994
19,meta/llama-3.1-405b-instruct-turbo,llama,2.0,0.8453174958174847
19,mistralai/mixtral-8x7b-32kseqlen,mistral,5.0,0.7172533474856093
19,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
19,microsoft/phi-2,phi,9.0,0.5842493973299887
19,qwen/qwen1.5-14b,qwen,6.0,0.6864380513233806
19,01-ai/yi-6b,yi,8.0,0.6400594608704304
20,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
20,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
20,deepseek-ai/deepseek-llm-67b-chat,deepseek,6.0,0.725042055452075
20,google/gemma-2-27b,gemma,3.0,0.7570433943977638
20,meta/llama-3-8b,llama,8.0,0.6676368046780581
20,mistralai/open-mistral-nemo-2407,mistral,9.0,0.6532946316803779
20,allenai/olmo-7b,olmo,10.0,0.2946516964096742
20,microsoft/phi-3-small-8k-instruct,phi,4.0,0.7567775597029733
20,qwen/qwen2.5-72b-instruct-turbo,qwen,1.0,0.8337220858502318
20,01-ai/yi-34b,yi,2.0,0.7623282062667585
21,snowflake/snowflake-arctic-instruct,arctic,6.0,0.676569761285256
21,databricks/dbrx-instruct,dbrx,4.0,0.7410120567563482
21,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
21,google/gemma-2-9b,gemma,5.0,0.7213434388300994
21,meta/llama-2-7b,llama,10.0,0.4581089294358622
21,mistralai/open-mistral-nemo-2407,mistral,7.0,0.6532946316803779
21,allenai/olmo-1.7-7b,olmo,9.0,0.5376719988127453
21,microsoft/phi-3-small-8k-instruct,phi,3.0,0.7567775597029733
21,qwen/qwen2-72b-instruct,qwen,2.0,0.8235031827495974
21,01-ai/yi-6b,yi,8.0,0.6400594608704304
22,snowflake/snowflake-arctic-instruct,arctic,8.0,0.676569761285256
22,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
22,deepseek-ai/deepseek-llm-67b-chat,deepseek,6.0,0.725042055452075
22,google/gemma-2-9b,gemma,7.0,0.7213434388300994
22,meta/llama-3.2-11b-vision-instruct-turbo,llama,9.0,0.5650818312394074
22,mistralai/mixtral-8x22b,mistral,1.0,0.7781994679340385
22,allenai/olmo-7b,olmo,10.0,0.2946516964096742
22,microsoft/phi-3-medium-4k-instruct,phi,2.0,0.774517567943956
22,qwen/qwen1.5-32b,qwen,4.0,0.7443285147738198
22,01-ai/yi-34b,yi,3.0,0.7623282062667585
23,snowflake/snowflake-arctic-instruct,arctic,6.0,0.676569761285256
23,databricks/dbrx-instruct,dbrx,3.0,0.7410120567563482
23,deepseek-ai/deepseek-llm-67b-chat,deepseek,4.0,0.725042055452075
23,google/gemma-7b,gemma,7.0,0.6611956672419421
23,meta/llama-2-70b,llama,5.0,0.6954627064646919
23,mistralai/mistral-7b-instruct-v0.3,mistral,8.0,0.5991250371958482
23,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
23,microsoft/phi-2,phi,9.0,0.5842493973299887
23,qwen/qwen1.5-72b,qwen,1.0,0.7739168514623904
23,01-ai/yi-34b,yi,2.0,0.7623282062667585
24,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
24,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
24,deepseek-ai/deepseek-llm-67b-chat,deepseek,6.0,0.725042055452075
24,google/gemma-7b,gemma,8.0,0.6611956672419421
24,meta/llama-3.1-405b-instruct-turbo,llama,1.0,0.8453174958174847
24,mistralai/open-mistral-nemo-2407,mistral,9.0,0.6532946316803779
24,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
24,microsoft/phi-3-small-8k-instruct,phi,4.0,0.7567775597029733
24,qwen/qwen1.5-72b,qwen,3.0,0.7739168514623904
24,01-ai/yi-large-preview,yi,2.0,0.7932309410233613
25,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
25,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
25,deepseek-ai/deepseek-llm-67b-chat,deepseek,6.0,0.725042055452075
25,google/gemma-2-27b,gemma,4.0,0.7570433943977638
25,meta/llama-2-13b,llama,9.0,0.5541548609350062
25,mistralai/mistral-7b-instruct-v0.3,mistral,8.0,0.5991250371958482
25,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
25,microsoft/phi-3-medium-4k-instruct,phi,2.0,0.774517567943956
25,qwen/qwen1.5-110b-chat,qwen,3.0,0.767842526875325
25,01-ai/yi-large-preview,yi,1.0,0.7932309410233613
26,snowflake/snowflake-arctic-instruct,arctic,5.0,0.676569761285256
26,databricks/dbrx-instruct,dbrx,4.0,0.7410120567563482
26,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
26,google/gemma-7b,gemma,6.0,0.6611956672419421
26,meta/llama-3.1-8b-instruct-turbo,llama,9.0,0.5606310290011183
26,mistralai/mistral-7b-instruct-v0.3,mistral,7.0,0.5991250371958482
26,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
26,microsoft/phi-2,phi,8.0,0.5842493973299887
26,qwen/qwen2.5-72b-instruct-turbo,qwen,2.0,0.8337220858502318
26,01-ai/yi-large-preview,yi,3.0,0.7932309410233613
27,snowflake/snowflake-arctic-instruct,arctic,9.0,0.676569761285256
27,databricks/dbrx-instruct,dbrx,7.0,0.7410120567563482
27,deepseek-ai/deepseek-llm-67b-chat,deepseek,8.0,0.725042055452075
27,google/gemma-2-27b,gemma,6.0,0.7570433943977638
27,meta/llama-3-70b,llama,1.0,0.7933654187607483
27,mistralai/mixtral-8x22b,mistral,3.0,0.7781994679340385
27,allenai/olmo-7b,olmo,10.0,0.2946516964096742
27,microsoft/phi-3-medium-4k-instruct,phi,4.0,0.774517567943956
27,qwen/qwen1.5-72b,qwen,5.0,0.7739168514623904
27,01-ai/yi-large-preview,yi,2.0,0.7932309410233613
28,snowflake/snowflake-arctic-instruct,arctic,6.0,0.676569761285256
28,databricks/dbrx-instruct,dbrx,4.0,0.7410120567563482
28,deepseek-ai/deepseek-llm-67b-chat,deepseek,5.0,0.725042055452075
28,google/gemma-2-27b,gemma,2.0,0.7570433943977638
28,meta/llama-3-8b,llama,7.0,0.6676368046780581
28,mistralai/open-mistral-nemo-2407,mistral,8.0,0.6532946316803779
28,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
28,microsoft/phi-3-medium-4k-instruct,phi,1.0,0.774517567943956
28,qwen/qwen1.5-32b,qwen,3.0,0.7443285147738198
28,01-ai/yi-6b,yi,9.0,0.6400594608704304
29,snowflake/snowflake-arctic-instruct,arctic,6.0,0.676569761285256
29,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
29,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
29,google/gemma-7b,gemma,7.0,0.6611956672419421
29,meta/llama-3.1-405b-instruct-turbo,llama,2.0,0.8453174958174847
29,mistralai/mixtral-8x22b,mistral,3.0,0.7781994679340385
29,allenai/olmo-7b,olmo,10.0,0.2946516964096742
29,microsoft/phi-3-medium-4k-instruct,phi,4.0,0.774517567943956
29,qwen/qwen1.5-7b,qwen,9.0,0.6257777441280399
29,01-ai/yi-6b,yi,8.0,0.6400594608704304
30,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
30,databricks/dbrx-instruct,dbrx,4.0,0.7410120567563482
30,deepseek-ai/deepseek-llm-67b-chat,deepseek,5.0,0.725042055452075
30,google/gemma-7b,gemma,8.0,0.6611956672419421
30,meta/llama-3.1-8b-instruct-turbo,llama,9.0,0.5606310290011183
30,mistralai/mixtral-8x22b,mistral,1.0,0.7781994679340385
30,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
30,microsoft/phi-3-medium-4k-instruct,phi,2.0,0.774517567943956
30,qwen/qwen1.5-14b,qwen,6.0,0.6864380513233806
30,01-ai/yi-34b,yi,3.0,0.7623282062667585
31,snowflake/snowflake-arctic-instruct,arctic,5.0,0.676569761285256
31,databricks/dbrx-instruct,dbrx,3.0,0.7410120567563482
31,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
31,google/gemma-2-9b,gemma,4.0,0.7213434388300994
31,meta/llama-3.3-70b-instruct-turbo,llama,2.0,0.790602761302675
31,mistralai/open-mistral-nemo-2407,mistral,6.0,0.6532946316803779
31,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
31,microsoft/phi-2,phi,9.0,0.5842493973299887
31,qwen/qwen1.5-7b,qwen,8.0,0.6257777441280399
31,01-ai/yi-6b,yi,7.0,0.6400594608704304
32,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
32,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
32,deepseek-ai/deepseek-llm-67b-chat,deepseek,6.0,0.725042055452075
32,google/gemma-2-27b,gemma,4.0,0.7570433943977638
32,meta/llama-3.1-8b-instruct-turbo,llama,9.0,0.5606310290011183
32,mistralai/mixtral-8x22b,mistral,1.0,0.7781994679340385
32,allenai/olmo-7b,olmo,10.0,0.2946516964096742
32,microsoft/phi-3-medium-4k-instruct,phi,2.0,0.774517567943956
32,qwen/qwen1.5-7b,qwen,8.0,0.6257777441280399
32,01-ai/yi-34b,yi,3.0,0.7623282062667585
33,snowflake/snowflake-arctic-instruct,arctic,6.0,0.676569761285256
33,databricks/dbrx-instruct,dbrx,3.0,0.7410120567563482
33,deepseek-ai/deepseek-llm-67b-chat,deepseek,5.0,0.725042055452075
33,google/gemma-7b,gemma,8.0,0.6611956672419421
33,meta/llama-3-8b,llama,7.0,0.6676368046780581
33,mistralai/mistral-7b-instruct-v0.3,mistral,9.0,0.5991250371958482
33,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
33,microsoft/phi-3-small-8k-instruct,phi,2.0,0.7567775597029733
33,qwen/qwen2.5-7b-instruct-turbo,qwen,4.0,0.7287077954964658
33,01-ai/yi-34b,yi,1.0,0.7623282062667585
34,snowflake/snowflake-arctic-instruct,arctic,8.0,0.676569761285256
34,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
34,deepseek-ai/deepseek-llm-67b-chat,deepseek,6.0,0.725042055452075
34,google/gemma-2-9b,gemma,7.0,0.7213434388300994
34,meta/llama-2-7b,llama,10.0,0.4581089294358622
34,mistralai/mixtral-8x22b,mistral,3.0,0.7781994679340385
34,allenai/olmo-1.7-7b,olmo,9.0,0.5376719988127453
34,microsoft/phi-3-medium-4k-instruct,phi,4.0,0.774517567943956
34,qwen/qwen2-72b-instruct,qwen,1.0,0.8235031827495974
34,01-ai/yi-large-preview,yi,2.0,0.7932309410233613
35,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
35,databricks/dbrx-instruct,dbrx,4.0,0.7410120567563482
35,deepseek-ai/deepseek-llm-67b-chat,deepseek,5.0,0.725042055452075
35,google/gemma-2-27b,gemma,2.0,0.7570433943977638
35,meta/llama-2-70b,llama,6.0,0.6954627064646919
35,mistralai/mistral-7b-instruct-v0.3,mistral,9.0,0.5991250371958482
35,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
35,microsoft/phi-3-small-8k-instruct,phi,3.0,0.7567775597029733
35,qwen/qwen1.5-72b,qwen,1.0,0.7739168514623904
35,01-ai/yi-6b,yi,8.0,0.6400594608704304
36,snowflake/snowflake-arctic-instruct,arctic,5.0,0.676569761285256
36,databricks/dbrx-instruct,dbrx,4.0,0.7410120567563482
36,deepseek-ai/deepseek-v3,deepseek,1.0,0.8720324162906944
36,google/gemma-7b,gemma,7.0,0.6611956672419421
36,meta/llama-3-8b,llama,6.0,0.6676368046780581
36,mistralai/mistral-7b-instruct-v0.3,mistral,9.0,0.5991250371958482
36,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
36,microsoft/phi-3-small-8k-instruct,phi,2.0,0.7567775597029733
36,qwen/qwen1.5-32b,qwen,3.0,0.7443285147738198
36,01-ai/yi-6b,yi,8.0,0.6400594608704304
37,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
37,databricks/dbrx-instruct,dbrx,5.0,0.7410120567563482
37,deepseek-ai/deepseek-llm-67b-chat,deepseek,6.0,0.725042055452075
37,google/gemma-7b,gemma,8.0,0.6611956672419421
37,meta/llama-3.1-70b-instruct-turbo,llama,1.0,0.8010355128348475
37,mistralai/open-mistral-nemo-2407,mistral,9.0,0.6532946316803779
37,allenai/olmo-7b,olmo,10.0,0.2946516964096742
37,microsoft/phi-3-small-8k-instruct,phi,4.0,0.7567775597029733
37,qwen/qwen1.5-110b-chat,qwen,3.0,0.767842526875325
37,01-ai/yi-large-preview,yi,2.0,0.7932309410233613
38,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
38,databricks/dbrx-instruct,dbrx,4.0,0.7410120567563482
38,deepseek-ai/deepseek-llm-67b-chat,deepseek,5.0,0.725042055452075
38,google/gemma-2-27b,gemma,3.0,0.7570433943977638
38,meta/llama-3.1-405b-instruct-turbo,llama,1.0,0.8453174958174847
38,mistralai/mixtral-8x7b-32kseqlen,mistral,6.0,0.7172533474856093
38,allenai/olmo-7b,olmo,10.0,0.2946516964096742
38,microsoft/phi-2,phi,9.0,0.5842493973299887
38,qwen/qwen1.5-7b,qwen,8.0,0.6257777441280399
38,01-ai/yi-large-preview,yi,2.0,0.7932309410233613
39,snowflake/snowflake-arctic-instruct,arctic,7.0,0.676569761285256
39,databricks/dbrx-instruct,dbrx,4.0,0.7410120567563482
39,deepseek-ai/deepseek-llm-67b-chat,deepseek,5.0,0.725042055452075
39,google/gemma-7b,gemma,8.0,0.6611956672419421
39,meta/llama-3.1-70b-instruct-turbo,llama,1.0,0.8010355128348475
39,mistralai/mixtral-8x7b-32kseqlen,mistral,6.0,0.7172533474856093
39,allenai/olmo-7b,olmo,10.0,0.2946516964096742
39,microsoft/phi-3-small-8k-instruct,phi,3.0,0.7567775597029733
39,qwen/qwen1.5-110b-chat,qwen,2.0,0.767842526875325
39,01-ai/yi-6b,yi,9.0,0.6400594608704304
40,snowflake/snowflake-arctic-instruct,arctic,8.0,0.676569761285256
40,databricks/dbrx-instruct,dbrx,4.0,0.7410120567563482
40,deepseek-ai/deepseek-llm-67b-chat,deepseek,5.0,0.725042055452075
40,google/gemma-2-9b,gemma,6.0,0.7213434388300994
40,meta/llama-3.3-70b-instruct-turbo,llama,2.0,0.790602761302675
40,mistralai/mixtral-8x7b-32kseqlen,mistral,7.0,0.7172533474856093
40,allenai/olmo-1.7-7b,olmo,10.0,0.5376719988127453
40,microsoft/phi-2,phi,9.0,0.5842493973299887
