stage,benchmark,models,families,items,pairwise_difference,response_correlation,power,power_gate,evidence_role
S3,gsm8k,11,9,1319,0.02,0.5,0.30651722629028033,UNDERPOWERED,PLANNING_ONLY
S3,gsm8k,11,9,1319,0.03,0.5,0.5875023905646232,UNDERPOWERED,PLANNING_ONLY
S3,bbh,11,9,6507,0.01,0.0,0.20734066852538358,UNDERPOWERED,PLANNING_ONLY
S3,bbh,11,9,6507,0.02,0.0,0.6264845366901316,UNDERPOWERED,PLANNING_ONLY
S3,bbh,11,9,6507,0.03,0.0,0.9286061121956866,PASS,PLANNING_ONLY
S3,bbh,11,9,6507,0.01,0.25,0.260777966677024,UNDERPOWERED,PLANNING_ONLY
S3,bbh,11,9,6507,0.02,0.25,0.7503644049543654,UNDERPOWERED,PLANNING_ONLY
S3,bbh,11,9,6507,0.03,0.25,0.9770006981893798,PASS,PLANNING_ONLY
S3,bbh,11,9,6507,0.01,0.5,0.36466600463683374,UNDERPOWERED,PLANNING_ONLY
S3,bbh,11,9,6507,0.02,0.5,0.8975950684142597,PASS,PLANNING_ONLY
S3,bbh,11,9,6507,0.03,0.5,0.9980389034288453,PASS,PLANNING_ONLY
S4,mmlu,13,11,14015,0.01,0.0,0.3877391380157329,UNDERPOWERED,PLANNING_ONLY
S4,mmlu,13,11,14015,0.02,0.0,0.9177065613019391,PASS,PLANNING_ONLY
S4,mmlu,13,11,14015,0.03,0.0,0.9989196693757499,PASS,PLANNING_ONLY
S4,mmlu,13,11,14015,0.01,0.25,0.4894578577286388,UNDERPOWERED,PLANNING_ONLY
S4,mmlu,13,11,14015,0.02,0.25,0.9718056927357771,PASS,PLANNING_ONLY
S4,mmlu,13,11,14015,0.03,0.25,0.9999397032157759,PASS,PLANNING_ONLY
S4,mmlu,13,11,14015,0.01,0.5,0.6583604486964467,UNDERPOWERED,PLANNING_ONLY
S4,mmlu,13,11,14015,0.02,0.5,0.9972596178484359,PASS,PLANNING_ONLY
S4,mmlu,13,11,14015,0.03,0.5,0.9999998694297074,PASS,PLANNING_ONLY
S4,gsm8k,13,11,1319,0.01,0.0,0.08073422869899427,UNDERPOWERED,PLANNING_ONLY
S4,gsm8k,13,11,1319,0.02,0.0,0.1769905331592766,UNDERPOWERED,PLANNING_ONLY
S4,gsm8k,13,11,1319,0.03,0.0,0.3383024661633691,UNDERPOWERED,PLANNING_ONLY
S4,gsm8k,13,11,1319,0.01,0.25,0.09117726700031248,UNDERPOWERED,PLANNING_ONLY
S4,gsm8k,13,11,1319,0.02,0.25,0.22048445192790955,UNDERPOWERED,PLANNING_ONLY
S4,gsm8k,13,11,1319,0.03,0.25,0.4290025889084351,UNDERPOWERED,PLANNING_ONLY
S4,gsm8k,13,11,1319,0.01,0.5,0.1123002986489885,UNDERPOWERED,PLANNING_ONLY
S4,gsm8k,13,11,1319,0.02,0.5,0.30651722629028033,UNDERPOWERED,PLANNING_ONLY
S4,gsm8k,13,11,1319,0.03,0.5,0.5875023905646232,UNDERPOWERED,PLANNING_ONLY
S4,bbh,13,11,6507,0.01,0.0,0.20734066852538358,UNDERPOWERED,PLANNING_ONLY
S4,bbh,13,11,6507,0.02,0.0,0.6264845366901316,UNDERPOWERED,PLANNING_ONLY
S4,bbh,13,11,6507,0.03,0.0,0.9286061121956866,PASS,PLANNING_ONLY
S4,bbh,13,11,6507,0.01,0.25,0.260777966677024,UNDERPOWERED,PLANNING_ONLY
S4,bbh,13,11,6507,0.02,0.25,0.7503644049543654,UNDERPOWERED,PLANNING_ONLY
S4,bbh,13,11,6507,0.03,0.25,0.9770006981893798,PASS,PLANNING_ONLY
S4,bbh,13,11,6507,0.01,0.5,0.36466600463683374,UNDERPOWERED,PLANNING_ONLY
S4,bbh,13,11,6507,0.02,0.5,0.8975950684142597,PASS,PLANNING_ONLY
S4,bbh,13,11,6507,0.03,0.5,0.9980389034288453,PASS,PLANNING_ONLY
